IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKIDATA#Q707823	attore$NOM canadese$ADJ
IT#WIKI#Procelsterna_cerulea	il$DET:def sterna$NOM stolido$ADJ blu-grigia,$NOM essere$VER:pres un$DET:indef uccello$NOM del$PRE:det famiglia$NOM Laridae.$ABR
IT#WIKIDATA#Q77595	filosofo$NOM tedesco$ADJ
IT#WIKIDATA#Q496943	comune$NOM italiano$ADJ
IT#WIKI#Villa_di_Chiavenna	villa$NOM di$PRE Chiavenna$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Sondrio.$NOM
IT#WIKIDATA#Q984867	comune$NOM spagnolo$ADJ
IT#WIKI#Jánossomorja	Jánossomorja$NOM essere$VER:pres una$DET:indef città$NOM di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det provincia$NOM di$PRE Győr-Moson-Sopron,$NOM nell'Ungheria$NOM nordoccidentale.$NOM
IT#WIKI#461_Saskia	@card@$NUM Saskia$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#1654_Bojeva	@card@$NUM Bojeva$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale$ADJ del$PRE:det diametro$NOM medio$ADJ di$PRE circa$ADV @card@$NUM km.$NOM
IT#WIKI#Nesoromys_ceramicus	Nesoromys$ADJ ceramicus$NOM essere$VER:pres l'unica$VER:infi specie$ADV del$PRE:det genere$NOM Nesoromys,$NOM endemico$ADJ dell'Isola$VER:pres di$PRE Seram.$NOM
IT#WIKIDATA#Q421618	comune$NOM turco$ADJ
IT#WIKI#Bainghen	Bainghen$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det passo$NOM di$PRE Calais$NOM nel$PRE:det regione$NOM del$PRE:det Nord-Passo$NOM di$PRE Calais.$NOM
IT#WIKIDATA#Q132913	genere$NOM di$PRE animale$NOM del$PRE:det famiglia$NOM Alcidae$NOM
IT#WIKI#Canzoniere_(Petrarca)	il$DET:def Canzoniere,$NOM o$CON meno$ADV comunemente$ADV conoscere$VER:pper col$PRE:det titolo$NOM originale$ADJ in$PRE latino$ADJ Francisci$NOM Petrarchae$NOM laureato$ADJ poetae$ADJ Rerum$NOM vulgarium$NOM fragmenta,$NOM essere$VER:pres il$DET:def storia,$NOM attraverso$PRE il$DET:def poesia,$NOM del$PRE:det vita$NOM interiore$ADJ di$PRE Petrarca.$NOM
IT#WIKIDATA#Q328692	composto$NOM chimico$ADJ
IT#WIKI#Provincia_di_Siviglia	Siviglia$NPR essere$VER:pres una$DET:indef provincia$NOM del$PRE:det comunità$NOM autonomo$ADJ dell'Andalusia,$NOM nel$PRE:det Spagna$NPR meridionale.$NOM
IT#WIKIDATA#Q2734770	gruppo$NOM musicale$ADJ francese$ADJ
IT#WIKIDATA#Q161098	specie$ADV di$PRE pianta$NOM del$PRE:det famiglia$NOM Poaceae$NOM
IT#WIKI#Tarlac	Tarlac$NOM essere$VER:pres una$DET:indef città$NOM componente$ADJ del$PRE:det Filippine,$NOM capoluogo$NOM del$PRE:det provincia$NOM omonima,$NOM nel$PRE:det regione$NOM di$PRE Luzon$NOM Centrale.$ABR
IT#WIKIDATA#Q303480	scrittore$NOM ungherese$ADJ
IT#WIKIDATA#Q838947	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Cebidae$NOM
IT#WIKI#Aksu_(Adalia)	Aksu$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Turchia$NPR centro$NOM dell'omonimo$ADJ distretto,$NOM nel$PRE:det provincia$NOM di$PRE Adalia.$NOM
IT#WIKI#Bologne	Bologne$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Alta$VER:pres marna$NOM nel$PRE:det regione$NOM del$PRE:det Champagne-Ardenne.$NOM
IT#WIKI#Nykøbing_Falster	Nykøbing$NOM Falster$NOM essere$VER:pres un$DET:indef centro$NOM abitato$NOM danese$ADJ situare$VER:pper nel$PRE:det comune$NOM di$PRE Guldborgsund$NOM nel$PRE:det regione$NOM del$PRE:det Zelanda.$NOM
IT#WIKIDATA#Q5285	città$NOM filippino$ADJ
IT#WIKIDATA#Q434161	Compositore,$NOM pianista$NOM e$CON organista$NOM tedesco$ADJ
IT#WIKI#Reckange-sur-Mess	Reckange-sur-Mess$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Lussemburgo$NPR sud-occidentale.$ABR
IT#WIKIDATA#Q7868	unità$NOM fondamentale$ADJ del$PRE:det organismo$NOM vivente$ADJ
IT#WIKIDATA#Q237367	comune$NOM francese$ADJ
IT#WIKIDATA#Q3245245	categoria$NOM di$PRE conservazione$NOM IUCN$NPR
IT#WIKIDATA#Q1192195	premio$NOM cinematografico$ADJ
IT#OMWIKI#1457377	apertura$NOM al$PRE:det livello$NOM basso$ADJ del$PRE:det collo$NOM sul$PRE:det vestito$NOM di$PRE una$DET:indef donna$NOM che$PRO:rela rivelare$VER:pres una$DET:indef parte$NOM del$PRE:det seno.$NOM
IT#WIKI#Nobiltà_di_toga	con$PRE nobiltà$NOM di$PRE toga$NOM essere$VER:impf denominare$VER:pper il$DET:def classe$NOM del$PRE:det dignitario$NOM francese$ADJ che$PRO:rela nel$PRE:det regime$NOM antecedente$ADJ il$DET:def rivoluzione$NOM del$PRE:det @card@$NUM occupare$VER:impf funzione$NOM governative,$NOM di$PRE amministrazione$NOM del$PRE:det giustizia$NOM e$CON di$PRE amministrazione$NOM del$PRE:det finanza$NOM pubbliche.$ABR
IT#WIKIDATA#Q679222	comune$NOM austriaco$ADJ
IT#WIKI#Bene_Gesserit	il$DET:def bene$NOM Gesserit$NOM essere$VER:pres una$DET:indef organizzazione$NOM di$PRE rilevanza$NOM sociale,$NOM religioso$ADJ e$CON politico$ADJ chiave$NOM nell'universo$ADJ fantascientifico$ADJ di$PRE duna$NOM di$PRE Frank$NPR Herbert.$ABR
IT#WIKIDATA#Q901335	comune$NOM francese$ADJ
IT#WIKIDATA#Q195082	comune$NOM francese$ADJ
IT#WIKIDATA#Q645321	comune$NOM ungherese$ADJ
IT#WIKI#10Base5	il$DET:def 10Base5$NOM o$CON Thicknet$NOM essere$VER:pres una$DET:indef specifica$NOM di$PRE livello$NOM fisico$ADJ del$PRE:det standard$ADJ IEEE$NOM @card@$NUM caratterizzare$VER:pper da$PRE velocità$NOM di$PRE trasmissione$NOM di$PRE @card@$NUM Mbps$NOM in$PRE banda$NOM base$NOM e$CON da$PRE segmento$NOM di$PRE cavo$NOM di$PRE lunghezza$NOM non$ADV superiore$ADJ al$PRE:det @card@$NUM metri.$NOM
IT#WIKI#JUBILEE	JUBILEE$NOM essere$VER:pres il$DET:def secondo$ADJ album$NOM del$PRE:det band$NOM visual$NOM kei$ADJ giapponese$ADJ Versailles.$NOM
IT#WIKIDATA#Q170462	essere|stare$VER:pper malese$NOM
IT#WIKI#Cravatta_di_cuoio	una$DET:indef cravatta$NOM di$PRE cuoio$NOM essere$VER:pres un$DET:indef tipo$NOM di$PRE cravatta$NOM che$PRO:rela consistere$VER:pres in$PRE un$DET:indef pezzo$NOM di$PRE cuoio$NOM intrecciare$VER:pper con$PRE due$ADJ puntale$NOM di$PRE metallo$NOM decorativo$ADJ e$CON fermare$VER:pper con$PRE una$DET:indef placchetta$NOM o$CON un$DET:indef fermaglio$NOM ornamentale.$NOM
IT#WIKIDATA#Q18507	squadra$NOM di$PRE calcio$NOM inglese$ADJ
IT#WIKIDATA#Q1274870	Census-designated$NOM place$VER:pres dell'Alabama$VER:impe
IT#WIKIDATA#Q350351	calciatore$NOM norvegese$ADJ
IT#WIKI#Ivana_Kobilca	Ivana$ADJ Kobilca$NOM visse,$NOM lavorare$VER:remo e$CON studiare$VER:remo nel$PRE:det maggiore$ADJ città$NOM europeo$ADJ di$PRE fine$ADJ ottocento,$NOM tra$PRE questo$PRO:demo Vienna,$NOM Sarajevo,$NOM Berlino,$NOM Parigi$NPR e$CON monaco$NOM di$PRE Baviera.$NOM
IT#WIKIDATA#Q94816	asteroide$NOM
IT#WIKI#Getsemani	il$DET:def Getsemani$NOM essere$VER:pres un$DET:indef piccolo$ADJ uliveto$NOM poco$ADV fuori$ADV il$DET:def città$NOM vecchio$ADJ di$PRE Gerusalemme$NPR sul$PRE:det monta|monte$NOM del$PRE:det Ulivi,$NOM nel$PRE:det quale$ADJ Gesù$NOM Cristo,$NOM secondo$PRE il$DET:def Vangeli,$NOM si$PRO:pers ritirare$VER:remo dopo$PRE l'ultima$ADJ cena$NOM primo$ADJ di$PRE essere$VER:infi tradire$VER:pper da$PRE giuda$NOM e$CON arrestato.$NOM
IT#WIKI#Homalodotherium	L'omalodoterio$NOM essere$VER:pres uno$DET:indef strano$ADJ mammifero$NOM vivere$VER:pper nel$PRE:det miocene$NOM inferiore$ADJ in$PRE Argentina.$NOM
IT#WIKI#Colle_Santa_Lucia	col$PRE:det santo$NOM Lucia$NPR essere$VER:pres un$DET:indef comune$NOM italiano$ADJ di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Belluno$NPR in$PRE Veneto.$ABR
IT#WIKI#Röblingen_am_See	Röblingen$NOM am$NOM See$NOM essere$VER:pres un$DET:indef comune$NOM tedesco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det land$NOM del$PRE:det Sassonia-Anhalt.$NOM
IT#WIKIDATA#Q381937	pittore$NOM e$CON critico$ADJ d'arte$NOM francese$ADJ
IT#WIKIDATA#Q991012	comune$NOM francese$ADJ
IT#WIKI#Concerto_per_pianoforte_e_orchestra_n._2_(Beethoven)	il$DET:def concerto$NOM per$PRE pianoforte$NOM e$CON orchestra$NOM n.$ABR @card@$NUM di$PRE Ludwig$NOM van$NOM Beethoven,$NOM scrivere$VER:pper principalmente$ADV tra$PRE il$DET:def @card@$NUM e$CON il$DET:def @card@$NUM essere$VER:pres formare$VER:pper dal$PRE:det seguente$ADJ movimenti:$NOM Il$NOM concerto,$NOM considerare$VER:pper il$DET:def n.1$NOM come$PRE anno$NOM d'età$NOM del$PRE:det concerto$NOM scrivere$VER:pper da$PRE Beethoven$NPR per$PRE pianoforte,$NOM entrare$VER:pres di$PRE prepotenza$NOM tra$PRE il$DET:def migliore$ADJ componimento$NOM per$PRE tale$PRO:demo strumento.$NOM
IT#WIKI#Malý_Slivník	Malý$NOM Slivník$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Slovacchia$NPR facente$ADJ parte$NOM del$PRE:det distretto$NOM di$PRE Prešov,$NOM nel$PRE:det regione$NOM omonima.$NOM
IT#WIKI#UNICEF_Open	L'UNICEF$VER:remo open$NOM conoscere$VER:pper in$PRE passato$NOM anche$ADV come$PRE Ordina$NOM open$NOM essere$VER:pres un$DET:indef torneo$NOM di$PRE tennis$NOM professionistico$ADJ sia$CON maschile$ADJ che$CON femminile$ADJ che$PRO:rela si$PRO:refl giocare$VER:pres su$PRE campo$NOM in$PRE erba$NOM a$PRE 's-Hertogenbosch,$NOM nel$PRE:det paese$NOM Bassi.$ABR
IT#WIKIDATA#Q251776	asteroide$NOM
IT#WIKIDATA#Q517027	scienziato$NOM e$CON politico$ADJ francese$ADJ
IT#WIKIDATA#Q714759	storico$NOM e$CON ornitologo$NOM statunitense$ADJ
IT#WIKI#11836_Eileen	@card@$NUM Eileen$NOM essere$VER:pres un$DET:indef asteroide$NOM areosecante.$NOM
IT#WIKIDATA#Q1141843	comune$NOM francese$ADJ
IT#WIKIDATA#Q641382	ciclista$NOM su$PRE strada$NOM e$CON ciclocrossista$NOM francese$ADJ
IT#WIKIDATA#Q660553	Scrittore,$NOM storico$ADJ e$CON giornalista$NOM francese$ADJ
IT#WIKI#Barbara_Leigh-Hunt	in$PRE teatro$NOM essere$VER:pres apparire$VER:pper in$PRE numeroso$ADJ produzione$NOM prestigioso$ADJ con$PRE il$DET:def bristol$NOM Old$NOM Vic,$NOM Royal$NPR Shakespeare$NOM company$NOM e$CON Royal$NPR National$NPR Theatre.$ABR
IT#WIKI#Evangeliario_di_Lindisfarne	L'Evangeliario$NOM di$PRE Lindisfarne$NOM essere$VER:pres un$DET:indef libro$NOM miniare$VER:pper nel$PRE:det stile$NOM dell'arte$ADJ insulare$ADJ e$CON scrivere$VER:pper in$PRE maiuscolo$ADJ irlandesi.$NOM
IT#WIKI#Carmelo_(Uruguay)	Carmelo$NPR essere$VER:pres una$DET:indef cittadino$NOM turistico$ADJ dell'Uruguay,$NOM situare$VER:pper nel$PRE:det dipartimento$NOM di$PRE Colonia,$NOM conta$NOM @card@$NUM abitanti.$NOM
IT#WIKI#Wikizionario	il$DET:def Wikizionario$NOM essere$VER:pres un$DET:indef progetto$NOM collaborativo$ADJ per$PRE produrre$VER:infi un$DET:indef dizionario$NOM online$ADJ libero$ADJ e$CON multiligue,$NOM in$PRE tutto$ADJ il$DET:def lingue,$NOM con$PRE significati,$NOM etimologia$NOM e$CON pronunce.$NOM
IT#WIKIDATA#Q457432	politico$ADJ statunitense$NOM
IT#WIKI#Christer_Basma	Basma$VER:impe iniziare$VER:remo il$DET:def suo$PRO:poss carriera$NOM professionistica$ADJ con$PRE il$DET:def maglia$NOM del$PRE:det Bærum,$NOM dove$PRO:rela rimanere$VER:remo per$PRE tre$ADJ stagione.$NOM
IT#WIKI#Provincia_di_Tapacarí	il$DET:def provincia$NOM di$PRE Tapacarí$NOM essere$VER:pres una$DET:indef del$PRE:det @card@$NUM provincia$NOM del$PRE:det dipartimento$NOM di$PRE Cochabamba,$NOM nel$PRE:det parte$NOM centrale$ADJ del$PRE:det Bolivia.$NOM
IT#WIKI#Shoot_to_Thrill	Shoot$VER:impe to$FW Thrill$NOM essere$VER:pres un$DET:indef brano$NOM del$PRE:det AC/DC,$NOM il$DET:def settimo$NOM singolo$ADJ estrarre$VER:pper dal$PRE:det loro$PRO:poss album$NOM di$PRE maggiore$ADJ successo,$NOM Back$NOM in$PRE Black.$NOM
IT#WIKI#12500_Desngai	@card@$NUM Desngai$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Sigge_Parling	vincere$VER:remo il$DET:def campionato$NOM svedese$ADJ con$PRE il$DET:def Djurgardens$NOM nel$PRE:det @card@$NUM e$CON nel$PRE:det @ord@$ORD
IT#WIKIDATA#Q789353	comune$NOM francese$ADJ
IT#WIKI#Moto_retrogrado	il$DET:def moto$NOM retrogrado$ADJ essere$VER:pres il$DET:def movimento$NOM che$PRO:rela possedere$VER:pres un$DET:indef corpo$NOM celeste$ADJ quando$CON si$PRO:refl muovere$VER:pres nel$PRE:det verso$ADJ opposto$NOM al$PRE:det moto$NOM diretto,$NOM contrario$ADJ quindi$ADV a$PRE quello$PRO:demo normalmente$ADV atteso.$NOM
IT#WIKI#Blansko	Blansko$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det repubblica$NOM Ceca,$NOM importante$ADJ centro$NOM turistico$ADJ ed$CON industriale$ADJ situare$VER:pper nel$PRE:det parte$NOM sud-orientale$ADJ del$PRE:det Paese,$NOM adagiare$VER:pper sul$PRE:det fiume$NOM Svitava,$NOM @card@$NUM km$NOM a$PRE nord$NOM di$PRE Brno.$NOM
IT#WIKI#Ortillon	Ortillon$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Aube$ADJ nel$PRE:det regione$NOM del$PRE:det Champagne-Ardenne.$NOM
IT#WIKI#Basciano	Basciano$ADJ essere$VER:pres un$DET:indef comune$NOM italiano$ADJ di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Teramo$NOM in$PRE Abruzzo.$NOM
IT#WIKI#Sandbostel	Sandbostel$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det bassa$NOM Sassonia,$NOM in$PRE Germania.$NOM
IT#WIKI#Fox_Crime_(Italia)	Fox$NPR Crime$NOM essere$VER:pres un$DET:indef canale$NOM televisivo$ADJ tematico$ADJ italiano$ADJ d'intrattenimento$NOM interamente$ADV dedicare$VER:pper al$PRE:det crime,$NOM al$PRE:det giallo,$NOM all'investigazione,$NOM al$PRE:det mistery$NOM e$CON al$PRE:det noir.$NOM
IT#WIKIDATA#Q1931190	EP$NOM del$PRE:det lacuna$NOM Coil$NOM del$PRE:det @card@$NUM
IT#WIKI#Jānis_Miņins	venire$VER:pres ricordare$VER:pper come$PRE vincitore$NOM di$PRE una$DET:indef medaglia$NOM di$PRE bronzo$NOM nel$PRE:det suo$PRO:poss disciplina,$NOM vittoria$NOM avvenire$VER:pper nel$PRE:det @card@$NUM al$PRE:det campionato$NOM mondiale$ADJ FIBT$NOM @card@$NUM insieme$ADV al$PRE:det connazionale$ADJ Daumants$NOM Dreiskens,$NOM Oskars$NOM Melbardis$NOM e$CON Intars$NOM Dambis.$ABR
IT#WIKI#Kłoczew	Kłoczew$NOM essere$VER:pres un$DET:indef comune$ADJ rurale$NOM polacco$ADJ del$PRE:det distretto$NOM di$PRE Ryki,$NOM nel$PRE:det voivodato$NOM di$PRE Lublino.$NOM
IT#WIKIDATA#Q913733	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Bovidae$NOM
IT#WIKI#Lludd_Llaw_Eraint	Lludd$VER:remo Llaw$NOM Eraint,$NOM o$CON Nudd$NOM Llaw$NOM Eraint,$NOM essere$VER:impf il$DET:def figlio$NOM di$PRE Beli$VER:infi Mawr$NOM e$CON un$DET:indef leggendario$ADJ eroe$NOM del$PRE:det mitologia$NOM gallese.$ABR
IT#WIKI#Volta_(lago)	il$DET:def lago$NOM Volta,$NOM con$PRE circa$ADV @card@$NUM km²$NOM di$PRE superficie$NOM e$CON @card@$NUM km³$NOM di$PRE acqua$NOM immagazzinata,$NOM essere$VER:pres il$DET:def maggiore$ADJ lago$NOM artificiale$ADJ al$PRE:det mondo.$NOM
IT#WIKIDATA#Q639089	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Macropodidae$NOM
IT#WIKIDATA#Q1364725	comune$NOM francese$ADJ
IT#WIKI#Annie_Awards	il$DET:def premio$NOM Annie$NOM essere|sonare$VER:pres un$DET:indef riconoscimento$NOM cinematografico$ADJ dedicare$VER:pper al$PRE:det campo$NOM dell'animazione,$NOM conferire$VER:pper ogni$ADJ anno$NOM dal$PRE:det membro$NOM del$PRE:det ASIFA-Hollywood.$NOM
IT#WIKI#Kerr_Smith	essere$VER:pres noto$ADJ principalmente$ADV per$PRE avere$VER:infi interpretare$VER:pper il$DET:def personaggio$NOM di$PRE jack$NOM McPhee$NOM nel$PRE:det serie$NOM televisivo$ADJ Dawson's$NOM Creek.$ABR
IT#WIKI#Howard_Benson	Laureatosi$NOM in$PRE scienza$NOM del$PRE:det materiale$NOM presso$PRE il$DET:def Drexel$NOM University,$NOM Benson$NOM avere$VER:pres studiare$VER:pper composizione$NOM presso$PRE l'Università$NOM del$PRE:det arte|arto$NOM di$PRE Philadelphia.$NOM
IT#WIKI#Cesio_Basso	cesio$NOM Basso,$NOM in$PRE latino$ADJ Caesius$NOM Bassus,$NOM essere$VER:remo un$DET:indef grammatico$NOM e$CON poeta$NOM lirico$ADJ romano$ADJ vissuto$ADJ all'epoca$NOM di$PRE Nerone$NOM e$CON morto$NOM probabilmente$ADV durante$PRE l'eruzione$VER:infi del$PRE:det Vesuvio$NOM del$PRE:det @ord@$ORD
IT#WIKI#Cesare_Maldini	da$PRE giocatore$NOM essere$VER:pres essere|stare$VER:pper una$DET:indef bandiera$NOM del$PRE:det Milan$NPR ed$CON avere$VER:pres vestire$VER:pper il$DET:def fascia$NOM di$PRE capitano$NOM del$PRE:det Nazionale.$NOM
IT#WIKIDATA#Q353728	attore$NOM statunitense$ADJ
IT#WIKI#Pietro_Ferdinando_d'Asburgo-Toscana	Pietro$NPR Ferdinando$NPR nascere$VER:remo a$PRE Salisburgo,$NOM all'epoca$ADJ dell'Impero$VER:pres austro-ungarico,$NOM quarto$ADJ del$PRE:det dieci$ADJ figlio$NOM di$PRE Ferdinando$NPR IV,$NOM granduca$NOM titolare$NOM di$PRE Toscana,$NOM e$CON del$PRE:det suo$PRO:poss secondo$ADJ moglie,$NOM alice$NOM di$PRE Borbone-Parma.$NOM
IT#WIKI#Éric_Prodon	ottenere$VER:pres il$DET:def suo$PRO:poss best$NOM ranking$ADJ in$PRE singolare$ADJ il$DET:def @card@$NUM maggio$NOM @card@$NUM raggiungere$VER:geru il$DET:def 115ª$NOM posizione$NOM del$PRE:det ranking$NOM ATP.$ABR
IT#WIKIDATA#Q667457	calciatore$NOM turco$ADJ
IT#WIKIDATA#Q1011582	comune$NOM ungherese$ADJ
IT#WIKIDATA#Q1505793	romanzo$NOM scrivere$VER:pper da$PRE Larry$NOM Niven$NOM
IT#WIKIDATA#Q402641	comune$NOM francese$ADJ
IT#WIKIDATA#Q729444	Cantante,$NOM compositore$NOM e$CON pianista$NOM statunitense$ADJ
IT#WIKIDATA#Q541381	comune$NOM tedesco$ADJ
IT#WIKI#Gran_Premio_del_Sudafrica_1980	il$DET:def britannico$ADJ Geoff$NPR Lees$NOM sostituire$VER:pres Stefan$NOM Johansson$NPR al$PRE:det Shadow.$NOM
IT#WIKIDATA#Q752827	comune$NOM francese$ADJ
IT#WIKI#Bohars	Bohars$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Finistère$NOM nel$PRE:det regione$NOM del$PRE:det Bretagna.$NOM
IT#WIKI#Trattato_anglo-egiziano_del_1936	il$DET:def trattato$NOM anglo-egiziano$ADJ del$PRE:det @card@$NUM essere$VER:remo firmare$VER:pper in$PRE occasione$NOM del$PRE:det seconda|secondo$NOM guerra$NOM italo-abissina$ADJ del$PRE:det @card@$NUM per$PRE il$DET:def timore$NOM del$PRE:det giovane$ADJ re$NOM Faruq$NOM il$DET:def che$PRO:rela il$DET:def italiano$ADJ invadere$VER:cimp l'Egitto.$VER:infi
IT#WIKI#Szentmártonkáta	Szentmártonkáta$NOM essere$VER:pres un$DET:indef comune$ADJ dell'Ungheria$NOM di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det provincia$NOM di$PRE Pest,$NOM nell'Ungheria$NOM settentrionale.$NOM
IT#WIKIDATA#Q1360942	provincia$NOM boliviano$ADJ
IT#WIKI#Aldeaseca_de_la_Frontera	Aldeaseca$NOM de$NPR il$DET:def Frontera$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ di$PRE Castiglia$NOM e$CON León.$NOM
IT#WIKI#Idromagnesite	L'idromagnesite$NOM essere$VER:pres un$DET:indef minerale,$NOM appartenere$VER:ppre al$PRE:det gruppo$NOM omonimo,$NOM un$DET:indef carbonato$NOM di$PRE magnesio$NOM diffondere$VER:pper nel$PRE:det fessura$NOM del$PRE:det roccia$NOM serpentinose$ADJ e$CON nel$PRE:det dolomie.$NOM
IT#WIKIDATA#Q1090680	asteroide$NOM
IT#WIKI#Museo_egizio_(Torino)	il$DET:def museo$NOM del$PRE:det antichità$NOM egizio$NOM di$PRE Torino,$NOM meglio$ADV conoscere$VER:pper semplicemente$ADV come$PRE museo$NOM Egizio,$NOM essere$VER:pres considerato,$NOM per$PRE il$DET:def valore$NOM del$PRE:det reperti,$NOM il$DET:def più$ADV importante$ADJ del$PRE:det mondo$NOM dopo$PRE quello$PRO:demo del$PRE:det Cairo,$NOM nonché$CON il$DET:def più$ADV importante$ADJ d'Italia$NOM e$CON d'Europa$ADJ seguito$NOM da$PRE quello$PRO:demo di$PRE Firenze.$NOM
IT#WIKI#Marçon	Marçon$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Sarthe$NOM nel$PRE:det regione$NOM del$PRE:det Loira.$NOM
IT#WIKI#Attala	Attala$VER:impe essere$VER:pres un$DET:indef comune$ADJ dell'Ungheria$NOM centro-meridionale$ADJ di$PRE @card@$NUM abitanti.$ABR
IT#WIKIDATA#Q1340462	videogioco$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q724175	informatico$ADJ statunitense$NOM
IT#WIKI#Kin_(Giappone)	Kin$NOM essere$VER:pres una$DET:indef cittadino$NOM giapponese$ADJ del$PRE:det prefettura$NOM di$PRE Okinawa.$NOM
IT#WIKIDATA#Q867034	schermitore$NOM russo$ADJ
IT#WIKIDATA#Q12828	municipalità$NOM del$PRE:det filippino$NOM
IT#WIKI#Kevin_Peter_Hall	essere$VER:pres famoso$ADJ per$PRE avere$VER:infi interpretare$VER:pper il$DET:def dr.$ABR
IT#WIKIDATA#Q2093662	politico$ADJ canadese$NOM
IT#WIKIDATA#Q522982	Cartografo,$NOM vescovo$NOM luterano$ADJ e$CON matematico$ADJ islandese$ADJ
IT#WIKIDATA#Q262887	pallavolista$NOM giapponese$ADJ
IT#WIKIDATA#Q95072	anima$NOM e$CON manga$VER:impe
IT#WIKI#Distretto_di_Mishima	il$DET:def essere$VER:pres uno$ADJ del$PRE:det distretto$NOM del$PRE:det prefettura$NOM di$PRE Ōsaka,$NOM in$PRE Giappone.$NOM
IT#WIKI#Eta_Aquarii	Eta$VER:impe Aquarii$NOM essere$VER:pres una$DET:indef stella$NOM bianco-azzurra$ADJ nel$PRE:det sequenza$NOM principale$ADJ di$PRE magnitudine$NOM @card@$NUM situare$VER:pper nel$PRE:det costellazione$NOM dell'Aquario.$ABR
IT#WIKI#Apocrifi_del_Nuovo_Testamento	il$DET:def apocrifo$ADJ del$PRE:det Nuovo$NOM testamento$NOM essere|sonare$VER:pres teste|testo$NOM religioso$ADJ apocrifo$ADJ che$PRO:rela si$PRO:refl riferire$VER:pres come$PRE contenuto$NOM o$CON attribuzione$NOM pseudoepigrafa$ADJ al$PRE:det Nuovo$NOM Testamento.$ABR
IT#WIKI#Renier_Zen	figlio$NOM di$PRE Pietro$NPR e$CON di$PRE madre$ADJ ignota,$NOM il$DET:def suo$PRO:poss dogado$NOM essere$VER:remo contrassegnare$VER:pper da$PRE scontro$NOM con$PRE Genova$NPR per$PRE il$DET:def predominio$NOM del$PRE:det commercio$NOM orientale.$ABR
IT#WIKIDATA#Q456423	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Anatidae$NOM
IT#WIKI#Wolfeboro	Wolfeboro$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det stato$NOM Uniti$NOM d'America$ADJ facente$ADJ parte$NOM del$PRE:det contea$NOM di$PRE Carroll$NOM nel$PRE:det stato$NOM del$PRE:det New$NPR Hampshire.$ABR
IT#WIKI#Papilio_hospiton	Papilio$NOM hospiton$NOM Gené,$NOM @card@$NUM essere$VER:pres un$DET:indef lepidottero$NOM appartenere$VER:ppre al$PRE:det famiglia$NOM Papilionidae.$ABR
IT#OMWIKI#871265	componimento$NOM teatrale$ADJ leggero$ADJ e$CON divertente$ADJ con$PRE un$DET:indef lieto$ADJ fine.$NOM
IT#WIKI#Pinguipedidae	il$DET:def Pinguipedidae$NOM essere|sonare$VER:pres una$DET:indef famiglia$NOM di$PRE pesce$NOM osseo$ADJ appartenente$ADJ all'ordine$NOM Perciformes.$ABR
