FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKIDATA#Q3752	ville$NOM de$PRP Russie$NAM
FR#WIKI#Championnat_de_République_tchèque_de_football_2000-2001	le$DET:ART saison$NOM @card@$NUM du$PRP:det Championnat$NAM de$PRP République$NAM tchèque$ADJ de$PRP football$NOM être$VER:impf le$DET:ART @card@$NUM édition$NOM de$PRP le$DET:ART Gambrinus$NOM Liga,$ABR le$DET:ART championnat$NOM de$PRP premier$NUM division$NOM de$PRP République$NAM tchèque.$ABR
FR#WIKIDATA#Q123790	commune$NOM italien$ADJ
FR#WIKIDATA#Q152046	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q965	pays$NOM d'Afrique$ADJ de$PRP l'Ouest$NOM
FR#WIKI#Jesenje	Jesenje$NAM être$VER:pres un$DET:ART municipalité$NOM situer$VER:pper dans$PRP le$DET:ART comitat$NOM de$PRP Krapina-Zagorje,$NAM en$PRP Croatie.$NAM
FR#WIKIDATA#Q515671	commune$NOM allemand$ADJ
FR#WIKI#Salcito	Salcito$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ de$PRP le$DET:ART province$NOM de$PRP Campobasso$NAM dans$PRP le$DET:ART région$NOM Molise$NAM en$PRP Italie.$NAM
FR#WIKI#Metal_Gear_Solid:_Peace_Walker	Metal$NAM Gear$NAM Solid:$NAM Peace$NAM Walker$NAM être$VER:pres un$DET:ART jeu$NOM vidéo$ADJ d'action$NOM /$PUN infiltration$NOM développer$VER:pper par$PRP le$DET:ART studio$NOM Kojima$VER:simp production$NOM sortir$VER:pper en$PRP @card@$NUM sur$PRP PlayStation$NOM Portable,$ADJ remastérisé$VER:pper HD$NAM en$PRP @card@$NUM dans$PRP Metal$NAM Gear$NAM Solid:$NAM HD$NAM Collection$NAM sur$PRP Playstation$NAM @card@$NUM et$KON Xbox$NAM @ord@$ABR
FR#WIKIDATA#Q24773	commune$NOM français$ADJ du$PRP:det département$NOM de$PRP Charente-Maritime$NAM
FR#WIKI#Hiérarchie_mémoire	dans$PRP un$DET:ART ordinateur,$NOM le$DET:ART processeur$NOM accéder$VER:pres au$PRP:det instruction$NOM du$PRP:det programme$NOM à$PRP exécuter$VER:infi ainsi$ADV qu'aux$ADJ donnée$NOM nécessaire$ADJ à$PRP son$DET:POS exécution$NOM depuis$PRP le$DET:ART mémoire.$ABR
FR#WIKI#Gold_Cup_féminine_2010	le$DET:ART Gold$NAM Cup$NOM féminin$ADJ @card@$NUM être$VER:pres le$DET:ART @card@$NUM édition$NOM de$PRP le$DET:ART Gold$NAM Cup$NAM féminine.$ABR
FR#WIKI#La_Soif_du_mal	le$DET:ART soif$NOM du$PRP:det mal$NOM être$VER:pres un$DET:ART film$NOM policier$ADJ américain$ADJ réaliser$VER:pper par$PRP Orson$NAM Welles,$ABR sortir$VER:pper en$PRP @ord@$NAM
FR#WIKIDATA#Q657756	commune$NOM allemand$ADJ
FR#WIKIDATA#Q505201	commune$NOM allemand$ADJ
FR#WIKI#Évangiles_de_Lindisfarne	le$DET:ART Évangile$NOM de$PRP Lindisfarne$NAM être$VER:pres un$DET:ART manuscrit$NOM enluminer$VER:pper rédiger$VER:pper en$PRP latin.$NOM
FR#WIKI#Stage_diving	le$DET:ART stage$NOM diving$ADJ être$VER:pres l'acte$ADJ de$PRP plonger$VER:infi depuis$PRP le$DET:ART scène$NOM d'un$ADJ concert$NOM dans$PRP le$DET:ART foule.$ABR
FR#WIKI#Cuvergnon	Cuvergnon$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Oise$NOM et$KON le$DET:ART région$NOM Picardie.$NAM
FR#WIKI#Amédée_Ozenfant	Amédée$NAM Ozenfant,$ABR naître$VER:pper le$DET:ART à$PRP Saint-Quentin,$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Cannes,$NAM être$VER:impf un$DET:ART peintre$NOM français.$ADJ
FR#WIKI#Message_Passing_Interface	MPI,$NOM concevoir$VER:pper en$PRP @card@$NUM être$VER:pres un$DET:ART norme$NOM définir$VER:ppre un$DET:ART bibliothèque$NOM de$PRP fonctions,$NOM utilisable$ADJ avec$PRP le$DET:ART langage$NOM C,$ABR C++$NAM et$KON Fortran.$ABR
FR#WIKI#Canon_lisse	un$DET:ART arme$NOM à$PRP canon$NOM lisse$ADJ ou$KON à$PRP canon$NOM à$PRP âme$NOM lisse$ADJ être$VER:pres un$DET:ART arme$NOM dont$PRO:REL l'alésage$NOM du$PRP:det canon$NOM ne$ADV disposer$VER:pres pas$ADV de$PRP rayures.$NOM
FR#WIKIDATA#Q2515644	commune$NOM tchèque$ADJ
FR#WIKI#Point_d'interrogation	un$DET:ART point$NOM d'interrogation,$ADJ qui$PRO:REL être$VER:simp aussi$ADV appeler$VER:pper point$ADV interrogatif,$ADJ être$VER:pres un$DET:ART signe$NOM de$PRP ponctuation$NOM qui$PRO:REL se$PRO:PER mettre$VER:pres à$PRP le$DET:ART fin$ADJ d'une$NOM phraser$VER:pres interrogative,$NOM à$PRP le$DET:ART place$NOM du$PRP:det point.$ABR
FR#WIKIDATA#Q420014	enzyme$NOM
FR#WIKIDATA#Q235489	acteur|actrice$NOM américain$ADJ
FR#WIKIDATA#Q1415563	prénom$NOM féminin$ADJ
FR#WIKI#Metal_Gear_Solid_3:_Snake_Eater	Metal$NAM Gear$NAM Solid$NAM @card@$NUM Snake$NOM Eater$NAM être$VER:pres un$DET:ART jeu$NOM vidéo$ADJ d'action-infiltration$NOM réaliser$VER:pper par$PRP Hideo$NAM Kojima,$ABR développer$VER:pper et$KON éditer$VER:pper par$PRP Konami$NAM en$PRP @card@$NUM sur$PRP PlayStation$NOM @ord@$ADJ
FR#WIKIDATA#Q223078	composé$NOM chimique$ADJ
FR#WIKI#Tanavelle	Tanavelle$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Cantal$NAM et$KON le$DET:ART région$NOM Auvergne.$ABR
FR#WIKI#Reflux_gastro-œsophagien	le$DET:ART reflux$NOM gastro-œsophagien$ADJ être$VER:pres définir$VER:pper par$PRP le$DET:ART passage$NOM dans$PRP l'œsophage$ADJ d'une$NOM partir$VER:pper du$PRP:det contenu$NOM gastrique,$ADJ acide.$ADJ
FR#WIKIDATA#Q137841	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Warren_Kealoha	Warren$NAM Daniels$NAM Kealoha,$ABR naître$VER:pper le$DET:ART et$KON mort$NOM le,$ADJ être$VER:pres un$DET:ART nageur$ADJ américain.$NOM
FR#WIKI#Taurus_(fusée)	le$DET:ART fusée$NOM Taurus$NAM être$VER:pres un$DET:ART lanceur$NOM à$PRP quatre$NUM étage$NOM construire$VER:pper par$PRP Orbital$NAM Sciences$NAM Corporation$NAM dans$PRP le$DET:ART cadre$NOM du$PRP:det programme$NOM spatial$ADJ américain.$ADJ
FR#WIKIDATA#Q569313	commune$NOM allemand$ADJ
FR#WIKI#Kaori_Inoue	kaori$NOM Inoue$NAM être$VER:pres un$DET:ART joueur$NOM japonais$ADJ de$PRP volley-ball$NOM naître$VER:pper le$DET:ART à$PRP Toyooka$NAM dans$PRP le$DET:ART préfecture$NOM de$PRP Hyōgo.$NAM
FR#WIKI#(2213)_Meeus	L'astéroïde$NAM Meeus$NAM avoir$VER:pres être$VER:pper découvrir$VER:pper par$PRP Eugène$NAM Delporte$NAM à$PRP l'Observatoire$NOM royal$ADJ de$PRP Belgique$NAM en$PRP @ord@$NAM
FR#WIKI#Le_Kid	le$DET:ART Kid,$NAM ou$KON le$DET:ART Gosse$NAM au$PRP:det Québec,$NAM être$VER:pres un$DET:ART comédie$NOM dramatique$ADJ muet$ADJ américain$ADJ écrite,$NOM produire$VER:pper et$KON réaliser$VER:pper par$PRP Charlie$NAM Chaplin,$ABR sortie$NOM en$PRP @ord@$NAM
FR#WIKIDATA#Q1545	chanteur$NOM américain$ADJ
FR#WIKIDATA#Q644839	cour|cours$NOM d'eau$NOM français$ADJ
FR#WIKIDATA#Q1082029	chanson$NOM de$PRP Green$NAM Day$NAM
FR#WIKI#Universidad_Católica_de_la_Santísima_Concepción	L'Universidad$NAM Católica$NAM de$PRP le$DET:ART Santísima$NAM Concepción,$NAM également$ADV nommer$VER:pper UCSC,$NAM être$VER:pres un$DET:ART université$NOM chilien$ADJ privée,$VER:simp créer$VER:pper par$PRP l'Archevêché$NOM de$PRP le$DET:ART Santisime$NOM Concepción$NAM le$DET:ART @card@$NUM juillet$NOM @card@$NUM et$KON constituer$VER:pper de$PRP deux$NUM campus,$NOM situer$VER:pper l'un$ADJ et$KON l'autre$NOM dans$PRP le$DET:ART ville$NOM de$PRP Concepción.$NAM
FR#WIKI#Chasse_à_la_baleine	le$DET:ART chasse$NOM à$PRP le$DET:ART baleine$NOM avoir$VER:pres avoir$VER:pper lieu$NOM dans$PRP le$DET:ART nombreux$ADJ région$NOM du$PRP:det monde$NOM où$PRO:REL le$DET:ART baleine$NOM vivent.$ABR
FR#WIKI#Vol_TWA_847	le$DET:ART volume$ABR TWA$NAM @card@$NUM être$VER:impf un$DET:ART vol$NOM de$PRP le$DET:ART compagnie$NOM aérien$ADJ américain$ADJ TWA$NAM qui$PRO:REL avoir$VER:pres être$VER:pper détourner$VER:pper par$PRP l'Organisation$NOM du$PRP:det opprimer$VER:pper de$PRP le$DET:ART Terre.$NAM
FR#WIKI#Exploitation_forestière	L’exploitation$NOM forestier$ADJ être$VER:pres un$DET:ART processus$NOM de$PRP production$NOM s’appliquant$VER:ppre à$PRP un$DET:ART ensemble$NOM d’arbres$ADJ en$PRP vue$NOM de$PRP leur$DET:POS acheminement$NOM vers$PRP un$DET:ART site$NOM de$PRP valorisation.$ABR
FR#WIKI#Stipe_(mycologie)	on$PRO:PER appeler$VER:pres stipe,$ADJ l'organe$NOM qui$PRO:REL supporter$VER:pres le$DET:ART chapeau$NOM de$PRP certain$PRO:IND champignons.$NOM
FR#WIKI#Guntur_(Inde)	Guntur$NAM être$VER:pres un$DET:ART ville$NOM de$PRP l'État$NOM d'Andhra$VER:simp Pradesh,$NOM en$PRP Inde.$NAM
FR#OMWIKI#1499095	représenter$VER:ppre du$PRP:det pape$NOM charger$VER:pper de$PRP commission$NOM important$ADJ dans$PRP du$PRP:det pays$NOM étranger,$ADJ notamment$ADV d'apporter$VER:infi à$PRP un$DET:ART cardinal$NOM nouvellement$ADV nommer$VER:pper son$DET:POS insigne$NOM de$PRP fonction.$ABR
FR#WIKIDATA#Q312851	écrivain$NOM et$KON photographe$NOM américain$ADJ
FR#WIKI#Sivaslı	Sivaslı$NAM être$VER:pres un$DET:ART ville$NOM et$KON un$DET:ART district$NOM de$PRP le$DET:ART province$NOM d'Uşak$ADJ dans$PRP le$DET:ART région$NOM égéen$ADJ en$PRP Turquie.$NAM
FR#WIKIDATA#Q2065624	commune$NOM tchèque$ADJ
FR#WIKIDATA#Q1095995	commune$NOM français$ADJ
FR#WIKI#Parc_du_Cinquantenaire	le$DET:ART Parc$NAM du$PRP:det Cinquantenaire$NAM être$VER:pres un$DET:ART parc$NOM de$PRP Bruxelles,$NAM Belgique.$ABR
FR#WIKI#Narcy_(Haute-Marne)	Narcy$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Haute-Marne$NAM et$KON le$DET:ART région$NOM Champagne-Ardenne.$ABR
FR#WIKI#Siège_de_Gibraltar_(1779-1783)	le$DET:ART Grand$NAM Siège$NAM de$PRP Gibraltar$NAM qui$PRO:REL durer$VER:pres pendant$PRP tout$PRO:IND le$DET:ART guerre$NOM d'indépendance$NOM américaine,$ADJ être$VER:pres aujourd'hui$ADV à$PRP peine$NOM mentionner$VER:pper dans$PRP le$DET:ART ouvrage$NOM historique$ADJ spécialiser$VER:pper sur$PRP le$DET:ART période.$ABR
FR#WIKI#Miss_Mexique	miss$NOM Mexique$NAM ou$KON Nuestra$NAM Belleza$NAM México$NAM être$VER:pres le$DET:ART concours$NOM de$PRP beauté$NOM national$ADJ officiel$ADJ du$PRP:det Mexique.$NAM
FR#WIKI#Région_Sud_(Malawi)	le$DET:ART région$NOM Sud$ADJ être$VER:pres un$DET:ART région$NOM du$PRP:det Malawi.$NAM
FR#WIKI#Potamogalinae	le$DET:ART Potamogalinae$NAM former$VER:pres un$DET:ART sous-famille$NOM de$PRP mammifère$NOM de$PRP le$DET:ART famille$NOM du$PRP:det Tenrecidae.$NAM
FR#WIKIDATA#Q522059	commune$NOM français$ADJ
FR#WIKI#Korotcha	Korotcha$NAM être$VER:pres un$DET:ART ville$NOM de$PRP l'oblast$NOM de$PRP Belgorod,$NAM en$PRP Russie,$NAM et$KON le$DET:ART centre$NOM administratif$ADJ du$PRP:det raïon$NOM Korotchanski.$NAM
FR#WIKIDATA#Q49219	ville$NOM américain$ADJ
FR#WIKI#Forces_armées_britanniques	le$DET:ART force|forces$NOM armer$VER:pper britanniques,$ADJ englober$VER:pres le$DET:ART marine,$NOM l'armée$VER:pper de$PRP terre$NOM et$KON le$DET:ART force$NOM aérienne.$ADJ
FR#WIKIDATA#Q5502	année$NOM du$PRP:det XIIIe$NUM siècle$NOM
FR#WIKIDATA#Q60718	botaniste$NOM allemand$ADJ
FR#WIKIDATA#Q846149	commune$NOM espagnol$ADJ
FR#WIKI#Dorothy_Provine	Dorothy$NAM Provine,$NAM naître$VER:pper le$DET:ART à$PRP Deadwood$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Bremerton,$NAM être$VER:pres un$DET:ART chanteuse,$ADJ danseur$NOM et$KON acteur|actrice$NOM américaine.$ADJ
FR#WIKI#Manuel_Belgrano	Manuel$NAM Belgrano$NAM être$VER:pres un$DET:ART intellectuel,$NOM avocat,$ADJ homme$NOM politique$ADJ et$KON militaire$ADJ argentin.$NOM
FR#WIKI#Berserk_(manga)	Berserk$NAM être$VER:pres un$DET:ART manga$NOM de$PRP dark$ADJ fantasy$NOM de$PRP Kentaro$NAM Miura$NAM qui$PRO:REL avoir$VER:pres être$VER:pper adapter$VER:pper en$PRP un$DET:ART série$NOM animer$VER:pper en$PRP @ord@$NAM
FR#WIKIDATA#Q285586	groupe$NOM de$PRP musique$NOM brésilien$ADJ
FR#WIKI#La_Mano_Negra	la$PRO:PER être$VER:pres un$DET:ART présumer$VER:pper organisation$NOM anarchiste$ADJ secret$ADJ et$KON violente,$ADJ qui$PRO:REL agir$VER:pres en$PRP Andalousie$NAM à$PRP le$DET:ART fin$NOM du$PRP:det et$KON à$PRP lequel$PRO:REL on$PRO:PER attribuer$VER:simp du$PRP:det assassinat$NOM ainsi$KON que$KON du$PRP:det incendie$NOM de$PRP récolte$NOM ou$KON de$PRP bâtiments.$NOM
FR#WIKIDATA#Q618588	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q598111	espèce$NOM d'insectes$ADJ
FR#WIKI#Gustaaf_Joos	Gustaaf$NAM Joos,$NAM naître$VER:pper le$DET:ART à$PRP Sint-Niklaas$NAM en$PRP Belgique$NAM et$KON décédé$ADJ le,$NOM être$VER:impf un$DET:ART cardinal$NOM belge.$ADJ
FR#WIKI#Louis-Philippe_d'Orléans_(1747-1793)	Louis-Philippe-Joseph$ADJ d’Orléans,$NOM duc$NOM de$PRP Chartres,$ABR puis$ADV duc$NOM d'Orléans,$NOM avoir$VER:ppre changer$VER:pper son$DET:POS nom$NOM en$PRP Philippe-Égalité$NOM après$PRP @card@$NUM être$VER:pres naître$VER:pper au$PRP:det château$NOM de$PRP Saint-Cloud$NAM le$DET:ART et$KON mort$NOM guillotiner$VER:pper à$PRP Paris$NAM le.$ABR
FR#WIKI#Helagsfjället	Helagsfjället,$ABR culminer$VER:ppre à$PRP d'altitude,$NOM être$VER:pres le$DET:ART point$NOM culminer$VER:ppre de$PRP le$DET:ART province$NOM historique$ADJ de$PRP Härjedalen$NAM et$KON le$DET:ART plus$ADV haut$ADJ du$PRP:det montagne$NOM suédois$ADJ situer$VER:pper au$PRP:det sud$NOM du$PRP:det cercle$NOM polaire.$ADJ
FR#WIKI#Verdú	Verdú$NAM être$VER:pres un$DET:ART commun$ADJ d'Espagne$NOM dans$PRP le$DET:ART communauté$NOM autonome$ADJ de$PRP Catalogne,$ABR province$NOM de$PRP Lérida,$NAM de$PRP le$DET:ART comarque$NOM d'Urgell.$ADJ
FR#WIKIDATA#Q288327	joueur$NOM de$PRP tennis$NOM français$ADJ
FR#WIKI#Draft_NBA_1974	le$DET:ART draft$NOM NBA$NAM @card@$NUM être$VER:pres le$DET:ART @card@$NUM draft$NOM annuel$ADJ de$PRP le$DET:ART NBA.$NAM
FR#WIKI#Massimo_Oddo	Massimo$NOM Oddo,$ABR naître$VER:pper le$DET:ART à$PRP Città$ABR Sant'Angelo,$ABR province$NOM de$PRP Pescara$NOM situer$VER:pper dans$PRP le$DET:ART région$NOM du$PRP:det Abruzzes,$NAM être$VER:pres un$DET:ART joueur$NOM de$PRP football$NOM italien$ADJ évoluer$VER:ppre au$PRP:det poste$NOM de$PRP latéral$ADJ droit.$NOM
FR#WIKI#Nintendo_3DS	la$PRO:PER être$VER:pres un$DET:ART console$NOM portable$ADJ de$PRP huitième$ADJ génération$NOM développer$VER:pper par$PRP Nintendo,$NAM avoir$VER:ppre pour$PRP particularité$NOM l'affichage$NOM en$PRP 3D$NOM auto-stéréoscopie.$ADJ
FR#WIKIDATA#Q982933	genre$NOM de$PRP poisson$NOM
FR#WIKI#Téwodros_II_d'Éthiopie	Téwodros$NOM II,$ABR naître$VER:pper Kassa$NAM Hailou,$NAM être$VER:pres un$DET:ART militaire$ADJ et$KON un$DET:ART homme$NOM politique$ADJ éthiopien,$ADJ Negusse$NAM Negest$NAM du$PRP:det @card@$NUM février$NOM @card@$NUM jusqu'à$NOM son$DET:POS mort.$NOM
FR#WIKI#Kalofer	Kalofer$NAM être$VER:pres un$DET:ART petit$ADJ ville$NOM du$PRP:det centre$NOM de$PRP le$DET:ART Bulgarie,$ABR situer$VER:pper dans$PRP l'une$NOM du$PRP:det vallée$NOM qui$PRO:REL longer$VER:pres le$DET:ART versant$NOM sud$ADJ de$PRP le$DET:ART chaine$NOM du$PRP:det Balkan.$NAM
FR#WIKIDATA#Q7285	souverain$NOM de$PRP le$DET:ART dynastie$NOM Han$NAM
FR#WIKI#Tomorrowland_(festival)	le$DET:ART Tomorrowland$NAM être$VER:pres un$DET:ART festival$NOM de$PRP musique$NOM électronique$ADJ qui$PRO:REL se$PRO:PER dérouler$VER:pres tout$PRO:IND le$DET:ART an$NOM au$PRP:det moi|mois$NOM de$PRP juillet$NOM à$PRP Boom,$NAM dans$PRP le$DET:ART province$NOM d'Anvers.$ADJ
FR#WIKIDATA#Q862265	parc$NOM national$ADJ du$PRP:det Canada$NAM situer$VER:pper en$PRP Colombie-Britannique$NAM
FR#WIKIDATA#Q29545	joueur$NOM de$PRP basket-ball$NOM américain$ADJ
FR#WIKIDATA#Q229227	prénom$NOM
FR#WIKI#Sphyrnidae	le$DET:ART famille$NOM du$PRP:det Sphyrnidae$NAM regrouper$VER:pres le$DET:ART @card@$NUM espèce$NOM de$PRP Requins-marteaux,$NOM nommer$VER:pper ainsi$ADV du$PRP:det fait$NOM de$PRP le$DET:ART forme$NOM de$PRP leur$DET:POS tête$NOM en$PRP T,$NAM rappeler$VER:ppre un$DET:ART masse.$NOM
FR#WIKI#Intensité_acoustique	L’intensité$NOM acoustique$ADJ être$VER:pres le$DET:ART puissance$NOM transporter$VER:pper par$PRP le$DET:ART onde$NOM sonore$ADJ dans$PRP un$DET:ART direction$NOM donnée,$ADJ par$PRP unité$NOM de$PRP surface$NOM perpendiculairement$ADV à$PRP ce$PRO:DEM direction.$NOM
FR#WIKI#Guinkirchen	Guinkirchen$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Moselle$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKI#Climax_Blues_Band	climax$NOM Chicago$NAM Blues$NAM Band$NAM être$VER:pres un$DET:ART groupe$NOM britannique$ADJ de$PRP rock$NOM qui$PRO:REL s'est$NOM former$VER:pper vers$PRP le$DET:ART fin$NOM de$PRP l'année$VER:pper @ord@$VER:ppre
FR#WIKI#Omar_ibn_al-Khattâb	Omar$NAM ibn$NAM al-Khattâb$NAM ou$KON Omar$NAM I$NUM être$VER:pres un$DET:ART compagnon$NOM et$KON ami$NOM proche$ADJ de$PRP Mahomet,$NOM le$DET:ART prophète$NOM de$PRP l'islam,$NOM et$KON faire$VER:impf partir$VER:pper du$PRP:det clan$NOM du$PRP:det Banu$ADJ `Ad$NOM de$PRP le$DET:ART tribu$NOM Quraych.$NAM
FR#WIKIDATA#Q15296	montagne$NOM italo-suisse$ADJ
FR#WIKI#Cumières-le-Mort-Homme	Cumières-le-Mort-Homme$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Meuse$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKIDATA#Q633412	footballeur$NOM hollandais$ADJ
FR#WIKIDATA#Q1090680	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q1947343	district$NOM de$PRP l'Inde$NOM
FR#WIKI#Autosimilarité	L'autosimilarité$NAM être$VER:pres le$DET:ART caractère$NOM d'un$ADJ objet$NOM dans$PRP lequel$PRO:REL on$PRO:PER pouvoir$VER:pres trouver$VER:infi du$PRP:det similarité$NOM en$PRP l'observant$NOM à$PRP différent$ADJ échelles.$NOM
FR#WIKI#Chlorophoneus	le$DET:ART genre$NOM Chlorophoneus$NAM comprendre$VER:pres six$NUM espèce$NOM de$PRP gladiateurs,$ADJ passereau$NOM appartenir$VER:ppre à$PRP le$DET:ART famille$NOM du$PRP:det Malaconotidae.$NAM
FR#WIKI#Mecha	le$DET:ART terme$NOM mecha$NOM désigner$VER:pres un$DET:ART thème$NOM de$PRP science-fiction.$NOM
FR#WIKIDATA#Q814105	espèce$NOM d'insectes$ADJ
FR#WIKI#Treux	Treux$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Somme$NAM et$KON le$DET:ART région$NOM Picardie.$NAM
FR#WIKI#Fracture_du_pénis	le$DET:ART fracture$NOM du$PRP:det pénis$NOM être$VER:pres un$DET:ART rupture$NOM de$PRP l’albuginée$NOM et$KON du$PRP:det corps$NOM caverneux$ADJ du$PRP:det pénis.$NOM
FR#WIKIDATA#Q84152	militaire$ADJ autrichien$NOM
FR#WIKIDATA#Q4647	galaxie$NOM
FR#WIKIDATA#Q1173540	commune$NOM français$ADJ
FR#WIKI#Pierre_Quinon	Pierre$NAM Quinon,$NAM naître$VER:pper le$DET:ART à$PRP Lyon$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Hyères,$NAM être$VER:pres un$DET:ART athlète$NOM français$ADJ spécialiste$NOM du$PRP:det saut$NOM à$PRP le$DET:ART perche.$ABR
FR#WIKI#Épiscope_(optique)	un$DET:ART épiscope$NOM et$KON skopein$NOM être$VER:pres un$DET:ART appareil$NOM optique$ADJ pour$PRP le$DET:ART projection$NOM par$PRP réflexion.$ABR
FR#WIKIDATA#Q801193	gare$NOM ferroviaire$ADJ italien$ADJ
FR#WIKIDATA#Q622221	cratère$NOM martien$ADJ
FR#WIKIDATA#Q1079547	commune$NOM roumain$ADJ
FR#WIKI#Assam	L'Assam$NAM faire$VER:pres partir$VER:pper du$PRP:det États$NAM de$PRP l'extrémité$NOM être$VER:pres de$PRP l'Inde,$NOM au$PRP:det centre$NOM de$PRP le$DET:ART région$NOM du$PRP:det nord-est$NOM indien.$ADJ
FR#WIKI#L'Habitant_de_l'infini	L'Habitant$VER:ppre de$PRP l'infini$NOM être$VER:pres un$DET:ART manga$NOM de$PRP Hiroaki$NAM Samura.$ABR
FR#WIKI#Maïkop	Maïkop$NAM être$VER:pres un$DET:ART ville$NOM de$PRP Russie$NAM et$KON le$DET:ART capitale$NOM de$PRP le$DET:ART république$NOM d'Adyguée,$ADJ dans$PRP le$DET:ART Caucase.$ABR
FR#WIKI#98_(nombre)	@card@$NUM être$VER:pres l'entier$NOM naturel$ADJ qui$PRO:REL suivre$VER:pres @card@$NUM et$KON qui$PRO:REL précéder$VER:pres @ord@$VER:pper
FR#WIKIDATA#Q200707	ville$NOM japonais$ADJ
FR#WIKI#Médaille_du_mérite_(Israël)	le$DET:ART Médaille$NAM du$PRP:det mérite$NOM être$VER:pres l'une$NOM du$PRP:det décoration$NOM militaire$ADJ israéliennes.$ADJ
FR#WIKI#Horta_(Barcelone)	Horta$NAM être$VER:pres l'un$ADJ du$PRP:det quartier$NOM du$PRP:det district$NOM d'Horta-Guinardó,$ADJ à$PRP Barcelone.$NAM
FR#WIKI#Amietia_amieti	Amietia$NAM amieti$NOM être$VER:pres un$DET:ART espèce$NOM d'amphibien$ADJ de$PRP le$DET:ART famille$NOM du$PRP:det Pyxicephalidae.$NAM
FR#WIKI#Villoslada_de_Cameros	Villoslada$NAM de$PRP Cameros$NAM être$VER:pres un$DET:ART commune$NOM de$PRP le$DET:ART communauté$NOM autonome$ADJ de$PRP le$DET:ART Rioja,$NOM en$PRP Espagne.$NAM
FR#WIKI#Iker_Martínez	Iker$NAM Martínez$NAM de$PRP Lizarduy$NAM Lizárribar$NAM être$VER:pres un$DET:ART sportif$NOM espagnol$ADJ qui$PRO:REL pratiquer$VER:pres le$DET:ART voile.$ABR
FR#WIKI#Tehuacán	Tehuacán$NAM être$VER:pres le$DET:ART deuxième$NUM ville$NOM de$PRP l'État$NOM de$PRP Puebla,$NOM au$PRP:det Mexique,$NOM avec$PRP un$DET:ART population$NOM de$PRP @card@$NUM @card@$NUM habitants.$ABR
FR#WIKI#42e_parallèle_nord	en$PRP géographie,$NOM le$DET:ART @card@$NUM parallèle$NOM nord$ADJ être$VER:pres le$DET:ART parallèle$NOM joindre$VER:ppre le$DET:ART point$NOM de$PRP le$DET:ART surface$NOM de$PRP le$DET:ART Terre$NAM dont$PRO:REL le$DET:ART latitude$NOM être$VER:pres égal$ADJ à$PRP 42°$NOM nord.$ADJ
FR#WIKI#Miranda_del_Castañar	Miranda$NAM del$VER:futu Castañar$NAM être$VER:pres un$DET:ART commune$NOM d’Espagne,$ADJ dans$PRP le$DET:ART province$NOM de$PRP Salamanque,$ABR communauté$NOM autonome$ADJ de$PRP Castille-et-León.$NAM
FR#WIKI#Kilstett	Kilstett$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Bas-Rhin$NOM et$KON le$DET:ART région$NOM Alsace.$ABR
FR#WIKI#Fragile_(album_de_Yes)	fragile$ADJ être$VER:pres le$DET:ART quatrième$NUM album$NOM du$PRP:det groupe$NOM de$PRP rock$NOM progressif$ADJ britannique$ADJ Yes,$NAM et$KON le$DET:ART premier$NOM premier$NUM album$NOM sur$PRP lequel$PRO:REL apparaître$VER:pres Rick$NAM Wakeman.$ABR
